,Year,Number,Function Presentation,Function Type,General Topics,Course Description Topics,Part,Calculator
0,2010,AB1 BC1,analytic,exponential,total change given rate of change,integral of a rate of change to give accumulated change,(a) (c) (d),active
1,2010,AB1 BC1,,,related rates,related rates,(b),
2,2010,AB1 BC1,,,integration methods,antiderivatives following directly from derivatives of basic funcions,(c) ,
3,2010,AB1 BC1,,,anti-differentiation (initial conditions),finding specific antiderivatives using initial conditions,(c) ,
4,2010,AB2 BC2,tabular,general,"derivative, definition",approximate rate of change from graphs and tables of values,(a) ,active
5,2010,AB2 BC2,,,trapezoidal approximation,computation of trapezoidal sum,(a),
6,2010,AB2 BC2,,,definite integral,interpretation of definite integrals,(b),
7,2010,AB2 BC2,,,average value,average value of a function,(b),
8,2010,AB2 BC2,,,total change given rate of change,integral of a rate of change to give accumulated change,(c) ,
9,2010,AB2 BC2,,,"maximum, minimum",absolute extrema,(d),
10,2010,AB3,graphical,general,total change given rate of change,integral of a rate of change to give accumulated change,(a) (e),neutral
11,2010,AB3,,,area,area of a region,(a),
12,2010,AB3,,,differentiation,relationship between the increasing and decreasing behavior of f and the sign of f',(b),
13,2010,AB3,,,"maximum, minimum",absolute extrema,(c) ,
14,2010,AB4 BC4,analytic,algebraic,area,area of a region,(a),closed
15,2010,AB4 BC4,,,integration methods,antiderivatives following directly from derivatives of basic funcions,(a),
16,2010,AB4 BC4,,,fundamental theorem,use of the Fundamental Theorem to evaluate definite integrals,(a),
17,2010,AB4 BC4,,,volume,volume of a solid of revolution,(b),
18,2010,AB4 BC4,,,volume-slicing,volume of a solid with known cross section,(c) ,
19,2010,AB5,graphical,general,fundamental theorem,analysis of a function defined by a definite integral using the Fundamental Theorem,(a) (b) (c) ,closed
20,2010,AB5,,,area,area of a region,(a),
21,2010,AB5,,,points of inflection,point of inflection,(b),
22,2010,AB5,,,"maximum, minimum",local extrema,(c) ,
23,2010,AB5,,,differentiation,derivative of basic functions,(c),
24,2010,AB6,analytic,algebraic,tangents,tangent line to a curve at a point,(a),closed
25,2010,AB6,,,tangents,local linear approximation,(b),
26,2010,AB6,,,differential equations,solving separable differential equations,(c),
27,2010,BC3,analytic,exponential,parametric equations,analysis of planar curve given in parametric form,(a) (b) (c) (d) ,active
28,2010,BC3,,,total change given rate of change,integral of a rate of change to give accumulated change,(d),
29,2010,BC3,,,vectors,speed,(a),
30,2010,BC3,,,arc length,length of a curve given in parametric form,(b),
31,2010,BC3,,,tangents,slope of a curve at a point,(d),
32,2010,BC3,,,differentiation,interpretation of derivative as a rate of change,(c),
33,2010,BC5,analytic,algebraic,Euler's method,Euler's method,(a),closed
34,2010,BC5,,,limits,calculating limits using l'Hopital's Rule,(b),
35,2010,BC5,,,differential equations,solving separable differential equations,(c),
36,2010,BC5,,,integration methods,antiderivatives following directly from derivatives of basic funcions,(c),
37,2010,BC5,,,integration methods,antiderivatives by substitution,(c),
38,2010,BC6,analytic,trigonometric,series,Maclaurin series for cos(x),(a),closed
39,2010,BC6,,,series,manipulation of Taylor series to form new series from known series,(a),
40,2010,BC6,,,"maximum, minimum",local extrema,(b),
41,2010,BC6,,,series,manipulation of Taylor series to form new series from known series,(c),
42,2010,BC6,,,series,Taylor polynomial approximation,(d),
43,2010,BC6,,,series,alternating series with error bound,(d),
86,2009,AB1 BC1,graphical,trigonometric,motion on a line,particle motion on a line,(a) (b) (c) (d) ,neutral
87,2009,AB1 BC1,,,differentiation,"interpretation of derivative in context of velocity, speed, and acceleration",(a) (b) (c) (d) ,
88,2009,AB1 BC1,,,distance,distance traveled by a particle along a line,(b) (d),
89,2009,AB2 BC2,analytic,algebraic,total change given rate of change,integral of a rate of change to give accumulated change,(a) (c) ,active
90,2009,AB2 BC2,,,"maximum, minimum",absolute extrema,(b),
91,2009,AB2 BC2,,,fundamental theorem,use of the Fundamental Theorem to evaluate definite integrals,,
92,2009,AB2 BC2,,,average value,average value of a function,(d),
93,2009,AB3,verbal,algebraic,total change given rate of change,integral of a rate of change to give accumulated change,(a) (b) (c),active
94,2009,AB3,,,definite integral,basic properties of definite integrals,(b),
95,2009,AB3,,,fundamental theorem,analysis of a function defined by a definite integral using the Fundamental Theorem,(d),
96,2009,AB3,,,fundamental theorem,absolute extrema,(d),
97,2009,AB4,analytic,trigonometric,area,area of a region,(a),closed
98,2009,AB4,,,integration methods,antiderivatives following directly from derivatives of basic funcions,(a) (b),
99,2009,AB4,,,integration methods,antiderivatives by substitution,(b),
100,2009,AB4,,,fundamental theorem,use of the Fundamental Theorem to evaluate definite integrals,(a) (b),
101,2009,AB4,,,volume,volume of a solid of revolution,(b),
102,2009,AB4,,,volume-slicing,volume of a solid with known cross section,(c),
103,2009,AB5 BC5,tabular,general,"derivative, definition",approximate rate of change from graphs and tables of values,(a),neutral
104,2009,AB5 BC5,,,fundamental theorem,use of the Fundamental Theorem to evaluate definite integrals,(b),
105,2009,AB5 BC5,,,Riemann sums,computation of left Riemann Sum,(c),
106,2009,AB5 BC5,,,tangents,tangent line to a curve at a point,(d),
107,2009,AB5 BC5,,,tangents,local linear approximation,(d),
108,2009,AB5 BC5,,,tangents,tangent line and concavity,(d),
109,2009,AB5 BC5,,,secant line,secant line and concavity,(d),
110,2009,AB6,analytic,exponential,points of inflection,point of inflection,(a),closed
111,2009,AB6,,,total change given rate of change,integral of a rate of change to give accumulated change,(b),
112,2009,AB6,,,fundamental theorem,analysis of a function defined by a definite integral using the Fundamental Theorem,(c),
113,2009,AB6,,,"maximum, minimum",absolute extrema,(c),
114,2009,BC3,analytic,algebraic,parametric equations,analysis of planar curve given in parametric form,(a) (b) (c) (d) ,active
115,2009,BC3,,,"maximum, minimum",absolute extrema,(a),
116,2009,BC3,,,anti-differentiation (initial conditions),finding specific antiderivatives using initial conditions,(a) ,
117,2009,BC3,,,total change given rate of change,integral of a rate of change to give accumulated change,(a) (b),
118,2009,BC3,,,arc length,length of a curve given in parametric form,(c),
119,2009,BC3,,,tangents,tangent line to a curve at a point,(d),
120,2009,BC3,,,differentiation,chain rule,(d),
121,2009,BC4,analytic,algebraic,differential equations,solution of a differential equation,(a) (c),closed
122,2009,BC4,,,Euler's method,Euler's method,(a),
123,2009,BC4,,,series,Taylor polynomial approximation,(b),
124,2009,BC6,analytic,exponential,series,manipulation of Taylor series to form new series from known series,(a) (b),closed
125,2009,BC6,,,interval/convergence,interval of convergence of power series,(c),
126,2009,BC6,,,limits,calculating limits using algebra,(c),
